ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.4,1,1000,10,95.266,76.688,79.13,0.51579,0.50125,0.50292
0.4,1,1000,100,95.266,76.688,79.13,0.99469,0.51438,0.50742
0.4,1,1000,1000,95.266,76.688,79.13,0.50969,0.48063,0.49975
0.4,10,0.1,0.1,95.266,76.688,79.13,1,0.48125,0.494
0.4,10,0.1,1,95.266,76.688,79.13,1,0.57188,0.56993
0.4,10,0.1,10,95.266,76.688,79.13,1,0.69563,0.71337
0.4,10,0.1,100,95.266,76.688,79.13,1,0.70125,0.72812
0.4,10,0.1,1000,95.266,76.688,79.13,1,0.70125,0.72845
0.4,10,1,0.1,95.266,76.688,79.13,1,0.50438,0.50875
0.4,10,1,1,95.266,76.688,79.13,1,0.515,0.50708
0.4,10,1,10,95.266,76.688,79.13,1,0.62062,0.63511
0.4,10,1,100,95.266,76.688,79.13,1,0.70063,0.72079
0.4,10,1,1000,95.266,76.688,79.13,1,0.7025,0.7282
0.4,10,10,0.1,95.266,76.688,79.13,0.72382,0.49375,0.50483
0.4,10,10,1,95.266,76.688,79.13,0.99953,0.49438,0.50242
0.4,10,10,10,95.266,76.688,79.13,0.99969,0.50813,0.50842
0.4,10,10,100,95.266,76.688,79.13,1,0.735,0.74129
0.4,10,10,1000,95.266,76.688,79.13,1,0.65625,0.6722
0.4,10,100,0.1,95.266,76.688,79.13,0.51016,0.50938,0.49533
0.4,10,100,1,95.266,76.688,79.13,0.51141,0.53687,0.49717
0.4,10,100,10,95.266,76.688,79.13,0.51266,0.51125,0.508
0.4,10,100,100,95.266,76.688,79.13,0.99844,0.5575,0.55526
0.4,10,100,1000,95.266,76.688,79.13,0.50781,0.51125,0.49867
0.4,10,1000,0.1,95.266,76.688,79.13,0.50438,0.49,0.4955
0.4,10,1000,1,95.266,76.688,79.13,0.50531,0.49188,0.50242
0.4,10,1000,10,95.266,76.688,79.13,0.51735,0.51875,0.49983
0.4,10,1000,100,95.266,76.688,79.13,0.50781,0.51313,0.50117
0.4,10,1000,1000,95.266,76.688,79.13,0.51594,0.49312,0.50483
0.4,100,0.1,0.1,95.266,76.688,79.13,1,0.51187,0.49233
0.4,100,0.1,1,95.266,76.688,79.13,1,0.59313,0.57451
0.4,100,0.1,10,95.266,76.688,79.13,1,0.70125,0.7262
0.4,100,0.1,100,95.266,76.688,79.13,1,0.70188,0.72812
0.4,100,0.1,1000,95.266,76.688,79.13,1,0.70188,0.72862
0.4,100,1,0.1,95.266,76.688,79.13,1,0.51125,0.51017
0.4,100,1,1,95.266,76.688,79.13,1,0.49875,0.498
0.4,100,1,10,95.266,76.688,79.13,1,0.55125,0.58485
0.4,100,1,100,95.266,76.688,79.13,1,0.70063,0.72554
0.4,100,1,1000,95.266,76.688,79.13,1,0.69937,0.71995
0.4,100,10,0.1,95.266,76.688,79.13,1,0.50375,0.50958
0.4,100,10,1,95.266,76.688,79.13,1,0.51,0.51075
0.4,100,10,10,95.266,76.688,79.13,0.98343,0.51625,0.51684
0.4,100,10,100,95.266,76.688,79.13,0.50969,0.47937,0.49925
0.4,100,10,1000,95.266,76.688,79.13,1,0.47875,0.49933
0.4,100,100,0.1,95.266,76.688,79.13,0.515,0.48562,0.50317
0.4,100,100,1,95.266,76.688,79.13,0.50094,0.51,0.50033
0.4,100,100,10,95.266,76.688,79.13,0.52266,0.47813,0.50008
0.4,100,100,100,95.266,76.688,79.13,0.50907,0.51812,0.50092
0.4,100,100,1000,95.266,76.688,79.13,0.5086,0.47937,0.49942
0.4,100,1000,0.1,95.266,76.688,79.13,0.51141,0.49125,0.504
0.4,100,1000,1,95.266,76.688,79.13,0.52532,0.52563,0.4985
0.4,100,1000,10,95.266,76.688,79.13,0.51532,0.50125,0.49567
0.4,100,1000,100,95.266,76.688,79.13,0.51704,0.50125,0.50358
0.4,100,1000,1000,95.266,76.688,79.13,0.51391,0.51562,0.51009
0.4,1000,0.1,0.1,95.266,76.688,79.13,1,0.50562,0.49917
0.4,1000,0.1,1,95.266,76.688,79.13,1,0.48875,0.49733
0.4,1000,0.1,10,95.266,76.688,79.13,1,0.68688,0.70437
0.4,1000,0.1,100,95.266,76.688,79.13,1,0.70188,0.72712
0.4,1000,0.1,1000,95.266,76.688,79.13,1,0.70125,0.72829
0.4,1000,1,0.1,95.266,76.688,79.13,1,0.49562,0.50492
0.4,1000,1,1,95.266,76.688,79.13,1,0.49125,0.51634
0.4,1000,1,10,95.266,76.688,79.13,0.56596,0.49312,0.49758
0.4,1000,1,100,95.266,76.688,79.13,1,0.81188,0.78821
0.4,1000,1,1000,95.266,76.688,79.13,1,0.52563,0.53851
0.4,1000,10,0.1,95.266,76.688,79.13,0.64317,0.515,0.50083
0.4,1000,10,1,95.266,76.688,79.13,0.99531,0.51687,0.50817
0.4,1000,10,10,95.266,76.688,79.13,0.51219,0.50438,0.50867
0.4,1000,10,100,95.266,76.688,79.13,0.49891,0.49625,0.50208
0.4,1000,10,1000,95.266,76.688,79.13,0.50938,0.47937,0.49925
0.4,1000,100,0.1,95.266,76.688,79.13,0.51078,0.4975,0.49908
0.4,1000,100,1,95.266,76.688,79.13,0.51579,0.50062,0.50033
0.4,1000,100,10,95.266,76.688,79.13,0.50578,0.505,0.50567
0.4,1000,100,100,95.266,76.688,79.13,0.50156,0.49562,0.50558
0.4,1000,100,1000,95.266,76.688,79.13,0.50813,0.48,0.49917
0.4,1000,1000,0.1,95.266,76.688,79.13,0.50344,0.49188,0.50725
0.4,1000,1000,1,95.266,76.688,79.13,0.50625,0.5,0.4985
0.4,1000,1000,10,95.266,76.688,79.13,0.50891,0.485,0.49742
0.4,1000,1000,100,95.266,76.688,79.13,0.50938,0.5025,0.499
0.4,1000,1000,1000,95.266,76.688,79.13,0.50313,0.50375,0.50867
0.2,0.1,0.1,0.1,92.867,81.625,78.021,1,0.49375,0.50059
0.2,0.1,0.1,1,92.867,81.625,78.021,1,0.48875,0.50184
0.2,0.1,0.1,10,92.867,81.625,78.021,1,0.79,0.77014
0.2,0.1,0.1,100,92.867,81.625,78.021,1,0.8025,0.77658
0.2,0.1,0.1,1000,92.867,81.625,78.021,1,0.80125,0.77621
0.2,0.1,1,0.1,92.867,81.625,78.021,1,0.51125,0.48965
