ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.1,10,10,1000,97.191,90.411,90.064,1,0.88418,0.88259
0.1,10,100,1,97.191,90.411,90.064,1,0.70193,0.70272
0.1,10,100,10,97.191,90.411,90.064,0.99935,0.75632,0.75493
0.1,10,100,100,97.191,90.411,90.064,0.9924,0.77639,0.77772
0.1,10,100,1000,97.191,90.411,90.064,0.99996,0.88167,0.87932
0.1,10,1000,1,97.191,90.411,90.064,0.99996,0.55063,0.54728
0.1,10,1000,10,97.191,90.411,90.064,0.98056,0.86096,0.85724
0.1,10,1000,100,97.191,90.411,90.064,0.96339,0.86455,0.86455
0.1,10,1000,1000,97.191,90.411,90.064,0.92396,0.88375,0.8797
0.1,100,1,1,97.191,90.411,90.064,1,0.85716,0.85429
0.1,100,1,10,97.191,90.411,90.064,1,0.93055,0.92796
0.1,100,1,100,97.191,90.411,90.064,1,0.91615,0.91353
0.1,100,1,1000,97.191,90.411,90.064,1,0.92668,0.92338
0.1,100,10,1,97.191,90.411,90.064,1,0.88784,0.88446
0.1,100,10,10,97.191,90.411,90.064,1,0.70429,0.71023
0.1,100,10,100,97.191,90.411,90.064,1,0.82771,0.83074
0.1,100,10,1000,97.191,90.411,90.064,1,0.86963,0.86895
0.1,100,100,1,97.191,90.411,90.064,0.99998,0.75597,0.74934
0.1,100,100,10,97.191,90.411,90.064,0.99937,0.89543,0.89184
0.1,100,100,100,97.191,90.411,90.064,0.94911,0.62589,0.6209
0.1,100,100,1000,97.191,90.411,90.064,0.92668,0.91221,0.90583
0.1,100,1000,1,97.191,90.411,90.064,0.90608,0.53551,0.53751
0.1,100,1000,10,97.191,90.411,90.064,0.9442,0.87444,0.87389
0.1,100,1000,100,97.191,90.411,90.064,0.93419,0.89988,0.8966
0.1,100,1000,1000,97.191,90.411,90.064,0.83437,0.82921,0.82338
0.1,1000,1,1,97.191,90.411,90.064,1,0.88777,0.88201
0.1,1000,1,10,97.191,90.411,90.064,1,0.80341,0.80216
0.1,1000,1,100,97.191,90.411,90.064,1,0.86971,0.86924
0.1,1000,1,1000,97.191,90.411,90.064,1,0.92296,0.91927
0.1,1000,10,1,97.191,90.411,90.064,1,0.81853,0.82038
0.1,1000,10,10,97.191,90.411,90.064,1,0.81502,0.81604
0.1,1000,10,100,97.191,90.411,90.064,0.91529,0.89816,0.89397
0.1,1000,10,1000,97.191,90.411,90.064,0.82898,0.7187,0.71931
0.1,1000,100,1,97.191,90.411,90.064,0.99953,0.82205,0.82157
0.1,1000,100,10,97.191,90.411,90.064,1,0.75668,0.75441
0.1,1000,100,100,97.191,90.411,90.064,0.84553,0.83817,0.83726
0.1,1000,100,1000,97.191,90.411,90.064,0.9043,0.90669,0.90256
0.1,1000,1000,1,97.191,90.411,90.064,0.52828,0.52978,0.53084
0.1,1000,1000,10,97.191,90.411,90.064,0.82801,0.77152,0.77296
0.1,1000,1000,100,97.191,90.411,90.064,0.86239,0.8543,0.85142
0.1,1000,1000,1000,97.191,90.411,90.064,0.87683,0.87608,0.87336
0.05,1,1,1,96.955,89.58,89.871,1,0.70173,0.69276
0.05,1,1,10,96.955,89.58,89.871,1,0.8346,0.8418
0.05,1,1,100,96.955,89.58,89.871,1,0.85868,0.85478
0.05,1,1,1000,96.955,89.58,89.871,1,0.91931,0.92145
0.05,1,10,1,96.955,89.58,89.871,1,0.71707,0.72165
0.05,1,10,10,96.955,89.58,89.871,1,0.782,0.78739
0.05,1,10,100,96.955,89.58,89.871,1,0.78185,0.7762
0.05,1,10,1000,96.955,89.58,89.871,1,0.9183,0.92073
0.05,1,100,1,96.955,89.58,89.871,1,0.59137,0.59802
0.05,1,100,10,96.955,89.58,89.871,1,0.70876,0.71016
0.05,1,100,100,96.955,89.58,89.871,0.99842,0.79776,0.80436
0.05,1,100,1000,96.955,89.58,89.871,0.99993,0.88863,0.89164
0.05,1,1000,1,96.955,89.58,89.871,1,0.57303,0.57331
0.05,1,1000,10,96.955,89.58,89.871,1,0.82213,0.82448
0.05,1,1000,100,96.955,89.58,89.871,0.98728,0.87459,0.88095
0.05,1,1000,1000,96.955,89.58,89.871,0.95961,0.89652,0.8983
0.05,10,1,1,96.955,89.58,89.871,1,0.826,0.83014
0.05,10,1,10,96.955,89.58,89.871,1,0.68568,0.68698
0.05,10,1,100,96.955,89.58,89.871,1,0.74144,0.73887
0.05,10,1,1000,96.955,89.58,89.871,1,0.91916,0.92138
