ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.01,100,10,1,90.848,59.143,62.87,1,0.65857,0.6519
0.01,100,10,10,90.848,59.143,62.87,0.9925,0.61714,0.62205
0.01,100,10,100,90.848,59.143,62.87,0.61857,0.56857,0.6114
0.01,100,10,1000,90.848,59.143,62.87,0.61214,0.56571,0.60629
0.01,100,100,1,90.848,59.143,62.87,1,0.59,0.62075
0.01,100,100,10,90.848,59.143,62.87,0.89179,0.51857,0.52066
0.01,100,100,100,90.848,59.143,62.87,0.70643,0.58857,0.62959
0.01,100,100,1000,90.848,59.143,62.87,0.6125,0.56571,0.60697
0.01,100,1000,1,90.848,59.143,62.87,0.80929,0.67143,0.73188
0.01,100,1000,10,90.848,59.143,62.87,0.62607,0.59286,0.6281
0.01,100,1000,100,90.848,59.143,62.87,0.67179,0.62857,0.67694
0.01,100,1000,1000,90.848,59.143,62.87,0.74036,0.71429,0.7503
0.01,1000,1,1,90.848,59.143,62.87,1,0.63429,0.66078
0.01,1000,1,10,90.848,59.143,62.87,0.61786,0.57286,0.61229
0.01,1000,1,100,90.848,59.143,62.87,0.61214,0.56571,0.60629
0.01,1000,1,1000,90.848,59.143,62.87,1,0.56571,0.60629
0.01,1000,10,1,90.848,59.143,62.87,1,0.58857,0.59525
0.01,1000,10,10,90.848,59.143,62.87,0.91,0.61143,0.6391
0.01,1000,10,100,90.848,59.143,62.87,0.61286,0.56714,0.60713
0.01,1000,10,1000,90.848,59.143,62.87,0.61214,0.56571,0.60629
0.01,1000,100,1,90.848,59.143,62.87,0.85321,0.52571,0.53327
0.01,1000,100,10,90.848,59.143,62.87,0.865,0.53,0.56008
0.01,1000,100,100,90.848,59.143,62.87,0.6125,0.56571,0.60674
