ratio,alpha,beta,nn,test_acc,vali_acc
0.4,10.0,20.0,1,0.954491919204,0.954364652763
0.4,10.0,20.0,2,0.951474610891,0.952268329392
0.4,10.0,20.0,3,0.961852431406,0.962373683079
0.4,10.0,20.0,4,0.961291016162,0.961692825916
0.4,10.0,200.0,1,0.933898730246,0.934261449151
0.4,10.0,200.0,2,0.926822509168,0.926431591772
0.4,10.0,200.0,3,0.943949257618,0.943040923099
0.4,10.0,200.0,4,0.941060955362,0.940353329033
0.4,100.0,0.2,1,0.947016734952,0.946660216441
0.4,100.0,0.2,2,0.943125052259,0.942987171218
0.4,100.0,0.2,3,0.955201452513,0.955780118971
0.4,100.0,0.2,4,0.954073844022,0.954328818175
0.4,100.0,2.0,1,0.947140963006,0.946696051028
0.4,100.0,2.0,2,0.943225390303,0.942969253924
0.4,100.0,2.0,3,0.955254010535,0.955780118971
0.4,100.0,2.0,4,0.954133569048,0.954436321938
0.4,100.0,20.0,1,0.947358362101,0.947573998423
0.4,100.0,20.0,2,0.943368730365,0.944169712607
0.4,100.0,20.0,3,0.955531134656,0.955780118971
0.4,100.0,20.0,4,0.954248241098,0.954310900882
0.4,100.0,200.0,1,0.954740375312,0.954669246757
0.4,100.0,200.0,2,0.951670508977,0.952590840679
0.4,100.0,200.0,3,0.962033995485,0.962696194367
0.4,100.0,200.0,4,0.961520360261,0.961818246972
0.8,0.1,0.2,1,0.94857699833,0.94915026473
0.8,0.1,0.2,2,0.945344695368,0.944599231341
0.8,0.1,0.2,3,0.956181152305,0.956720389167
0.8,0.1,0.2,4,0.955127607881,0.955322827733
0.8,0.1,2.0,1,0.937805044113,0.938131030343
0.8,0.1,2.0,2,0.931060926402,0.931232810442
0.8,0.1,2.0,3,0.946871259738,0.947125592396
0.8,0.1,2.0,4,0.944592163636,0.943990037895
0.8,0.1,20.0,1,0.937238853572,0.937486001989
0.8,0.1,20.0,2,0.931318937282,0.931205934261
0.8,0.1,20.0,3,0.946563080077,0.94689266549
0.8,0.1,20.0,4,0.944018806126,0.944348386981
0.8,0.1,200.0,1,0.937332024167,0.937656217805
0.8,0.1,200.0,2,0.931383440002,0.931259686624
0.8,0.1,200.0,3,0.946383905855,0.946820995673
0.8,0.1,200.0,4,0.943925635531,0.943998996623
0.8,1.0,0.2,1,0.94857699833,0.949266728183
0.8,1.0,0.2,2,0.945402031119,0.94513675497
0.8,1.0,0.2,3,0.956517999842,0.956827893893
0.8,1.0,0.2,4,0.955306782103,0.95577076409
0.8,1.0,2.0,1,0.955141941819,0.955403456277
0.8,1.0,2.0,2,0.952131814892,0.952393323957
0.8,1.0,2.0,3,0.961721219245,0.962140419089
0.8,1.0,2.0,4,0.961341369894,0.961343092373
0.8,1.0,20.0,1,0.937246020541,0.937154529085
0.8,1.0,20.0,2,0.931053759434,0.930677369359
0.8,1.0,20.0,3,0.946362404948,0.946597027494
0.8,1.0,20.0,4,0.943531452243,0.94363168881
0.8,1.0,200.0,1,0.937446695669,0.937781639985
0.8,1.0,200.0,2,0.931182764873,0.931358232622
0.8,1.0,200.0,3,0.946505744326,0.946883706763
0.8,1.0,200.0,4,0.943911301593,0.944151294984
0.8,10.0,0.2,1,0.948763339521,0.949284645638
0.8,10.0,0.2,2,0.945473700808,0.945351764421
0.8,10.0,0.2,3,0.956460664091,0.956998109709
0.8,10.0,0.2,4,0.955328283009,0.955842433907
0.8,10.0,2.0,1,0.948584165299,0.950019261263
0.8,10.0,2.0,2,0.945781880469,0.946122214956
0.8,10.0,2.0,3,0.956632671344,0.957231036614
0.8,10.0,2.0,4,0.955478789356,0.956415792444
0.8,10.0,20.0,1,0.956561001656,0.956612884441
0.8,10.0,20.0,2,0.954253237678,0.953710256847
0.8,10.0,20.0,3,0.963197614833,0.963788824884
0.8,10.0,20.0,4,0.962652925198,0.963036291804
0.8,10.0,200.0,1,0.937174350852,0.937055983086
0.8,10.0,200.0,2,0.931168430936,0.930704245541
0.8,10.0,200.0,3,0.946684918547,0.946570151313
0.8,10.0,200.0,4,0.943818130998,0.94394524426
0.8,100.0,0.2,1,0.948648668019,0.949159223458
0.8,100.0,0.2,2,0.945545370496,0.945369681876
0.8,100.0,0.2,3,0.956431996216,0.957016027163
0.8,100.0,0.2,4,0.955270947258,0.955842433907
0.8,100.0,2.0,1,0.948763339521,0.949195058366
0.8,100.0,2.0,2,0.945566871403,0.945351764421
0.8,100.0,2.0,3,0.956439163185,0.957060820799
0.8,100.0,2.0,4,0.955328283009,0.955923062451
0.8,100.0,20.0,1,0.948476660766,0.949956550173
0.8,100.0,20.0,2,0.945925219847,0.946131173683
0.8,100.0,20.0,3,0.956618337407,0.957356458794
0.8,100.0,20.0,4,0.955600627826,0.956406833717
0.8,100.0,200.0,1,0.95697668585,0.956818935166
0.8,100.0,200.0,2,0.954317740398,0.954471748654
0.8,100.0,200.0,3,0.963448458743,0.964048627971
0.8,100.0,200.0,4,0.962738928825,0.963179631438
