alpha,beta,nn,test_acc,vali_acc
1,200,1,0.9270732962029187,0.9285458324374687
1,200,2,0.9196610164092649,0.9220956066795671
1,200,3,0.9380228930188556,0.9380778327241454
1,200,4,0.9341320035612071,0.9359277574715115
10,0.2,1,0.9434968950925101,0.9432380133304665
10,0.2,2,0.9398863153133495,0.9420913065290618
10,0.2,3,0.9521387150668045,0.9546334121694259
10,0.2,4,0.9505444537704041,0.9514799684655629
10,2,1,0.9439922150357475,0.9445997276571346
10,2,2,0.9403911912683535,0.9422346448792375
10,2,3,0.9524986581766811,0.9548484196946894
10,2,4,0.9509107675547918,0.951838314341002
10,20,1,0.951694360519656,0.9527700136171433
10,20,2,0.9486762534700268,0.9522683293915287
10,20,3,0.9593646526310089,0.9602952770013617
10,20,4,0.9582625259405902,0.9593635777252204
10,200,1,0.9271433736225407,0.9289758474879954
10,200,2,0.9193122219797827,0.9220956066795671
10,200,3,0.9379384815815837,0.9375761484985308
10,200,4,0.9341160768749294,0.9353544040708092
100,0.2,1,0.9434889317493713,0.9435246900308177
100,0.2,2,0.9398050892133332,0.9421629757041496
100,0.2,3,0.952135529729549,0.9547050813445137
100,0.2,4,0.9504934883743154,0.9514082992904752
100,2,1,0.9435383044768323,0.9437396975560811
100,2,2,0.9398544619407941,0.9420913065290618
100,2,3,0.9521801244511265,0.9549917580448649
100,2,4,0.9505110077292208,0.9514082992904752
100,20,1,0.9440415877632083,0.945173081057837
100,20,2,0.9404803807115087,0.9421629757041496
100,20,3,0.9524954728394256,0.9546334121694259
100,20,4,0.9510206616901081,0.9515516376406508
100,200,1,0.9519969675589327,0.9529850211424067
100,200,2,0.9490234552308812,0.952841682792231
100,200,3,0.9595079928075084,0.9601519386511861
100,200,4,0.9584249781406231,0.9596502544255716
0.1,0.2,1,0.9446330760974928,0.9452089156453809
0.1,0.2,2,0.9410388218873239,0.9417687952411667
0.1,0.2,3,0.9534556622046073,0.9534508707804773
0.1,0.2,4,0.9519308813806523,0.9536658783057407
0.1,2,1,0.9293297235506072,0.932630975417473
0.1,2,2,0.9220695450562879,0.9241023435820254
0.1,2,3,0.9403919994696415,0.9414104493657278
0.1,2,4,0.9368407473038614,0.9383286748369526
0.1,20,1,0.9292849297543687,0.9323084641295779
0.1,20,2,0.9226590314147852,0.926682433885186
0.1,20,3,0.9405371313694538,0.9421271411166058
