alpha,beta,nn,test_acc,vali_acc
0.1,200.0,3,0.910952380952,0.957142857143
0.1,200.0,4,0.902380952381,0.95
1.0,0.2,1,0.920634920635,0.942857142857
1.0,0.2,2,0.90746031746,0.935714285714
1.0,0.2,3,0.933968253968,0.95
1.0,0.2,4,0.92873015873,0.964285714286
1.0,2.0,1,0.928412698413,0.935714285714
1.0,2.0,2,0.910634920635,0.9
1.0,2.0,3,0.936031746032,0.921428571429
1.0,2.0,4,0.930158730159,0.942857142857
1.0,20.0,1,0.889206349206,0.9
1.0,20.0,2,0.86746031746,0.885714285714
1.0,20.0,3,0.901428571429,0.935714285714
1.0,20.0,4,0.89380952381,0.942857142857
1.0,200.0,1,0.896507936508,0.9
1.0,200.0,2,0.876666666667,0.9
1.0,200.0,3,0.910476190476,0.95
1.0,200.0,4,0.902222222222,0.95
10.0,0.2,1,0.918888888889,0.935714285714
10.0,0.2,2,0.907142857143,0.914285714286
10.0,0.2,3,0.932380952381,0.95
10.0,0.2,4,0.926349206349,0.957142857143
10.0,2.0,1,0.919841269841,0.935714285714
10.0,2.0,2,0.906507936508,0.914285714286
10.0,2.0,3,0.933015873016,0.95
10.0,2.0,4,0.927142857143,0.957142857143
10.0,20.0,1,0.921111111111,0.921428571429
10.0,20.0,2,0.905238095238,0.907142857143
10.0,20.0,3,0.93253968254,0.95
10.0,20.0,4,0.925079365079,0.957142857143
10.0,200.0,1,0.89,0.885714285714
10.0,200.0,2,0.869047619048,0.885714285714
10.0,200.0,3,0.903650793651,0.935714285714
10.0,200.0,4,0.896031746032,0.935714285714
100.0,0.2,1,0.918571428571,0.935714285714
100.0,0.2,2,0.906507936508,0.914285714286
100.0,0.2,3,0.932222222222,0.95
100.0,0.2,4,0.926031746032,0.957142857143
100.0,2.0,1,0.918888888889,0.935714285714
100.0,2.0,2,0.906349206349,0.914285714286
100.0,2.0,3,0.932380952381,0.95
100.0,2.0,4,0.926031746032,0.957142857143
